##########  Generation 1  ##########

10)  9.333333E-5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
11)  2.6666667E-4  |  ANOLFLEKPLPBPPKIFLIKIGHOIKPILHMGLHNKMHGF
12)  2.2E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  2.75E-4  |  JDKDAFCEHBFCEAGBNMKGNJMBCBCOAGLJHJGAFLHD
14)  6.333333E-5  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
15)  1.71875E-4  |  KEECILEKPLPBPPKIFLFOPHMDHJMGPMPDEMIOFPBO
16)  2.7222224E-4  |  ANOLFGJKDPCHEMBMGHMEAPJLIKPILHMGLHNKMHGF
17)  2.8055557E-4  |  JDKDAFCLBAELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
18)  2.611111E-4  |  JDKDAFCEHBELCPKIGHCEDCCLGBCOAGLJHJGAFLHD
19)  2.1470588E-4  |  KKACJABFLGKJGDBMGLIBEHEKLNCDCOCNFOKKDOJG
20)  2.8888887E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
21)  1.1764706E-4  |  MJDGKPILBABMMCKLKPBIEKAJAKMPICPJBFPJGMAL
22)  1.84375E-4  |  JDGLJKEAOKPNCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  2.3055557E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILJMGLHNKMHGF
24)  2.34375E-4  |  KKACJABFLGKJGDBMGLIKIMLOGFBACOCNFOKKDOJG
25)  2.9375E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
26)  1.96875E-4  |  KKACJABFKCCCEPKIGHCEDCCLGFBACOCNFOKKDOJG
27)  2.4722223E-4  |  ANOGFMKAPPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
28)  3.125E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  3.1874998E-4  |  ANOLFGJKDPLABMPPGOGEAKEIIKPILHMGLHNKMHGF
30)  2.6176468E-4  |  KDCMDGJKDPCHEMBMGHCEDCGOAHJOELHADFGICILP
Generation 5 Average Fitness: 2.2391843E-4

##########  Generation 6  ##########

1)  2.53125E-4  |  FJDGKPILBABMMHMLKNMKLLOEPKJBFLCMPGIJLKIE
2)  2.2058823E-4  |  KEECILEKPLPBEHPPGOGEAGHOIKPILHJHFMIOFPBO
3)  2.75E-4  |  JDKDAFCEHBFCEAGBNMKGNJMBCBCOAGLJHJGAFLHD
4)  2.1470588E-4  |  KKACJABFLGKJGDBMGLIBEHEKLNCDCOCNFOKKDOJG
5)  2.9375E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
6)  1.6666666E-4  |  JDKDAFCEHBELCIINMPKENJMBCBCOAGLJHJGAFLHD
7)  3.1315789E-4  |  MJGCJGBFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
8)  2.8947368E-4  |  ANOLFGJKDPCHEMBMNHGOOCCLIKPILHMGLHNKMHGF
9)  2.8888887E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
10)  1.96875E-4  |  KKACJABFKCCCEPKIGHCEDCCLGFBACOCNFOKKDOJG
11)  3.4473685E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
12)  3.4210525E-4  |  MJGCJGBFLJLABHPPGOGEAGHOIKPILOCNFOKKDOJG
13)  2.3421051E-4  |  MJGCJGBFLJPBPPKIFHCEDCCLGFBACOCNFOKKDOJG
14)  2.6578948E-4  |  ANOLFGJKDPCHEMKLKPCEDCCLIKPILHMGLHNKMHGF
15)  2.8947368E-4  |  ANOGFMKAPPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
16)  3.3888887E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
17)  9.333333E-5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
18)  2.8421052E-4  |  JDKDAFCLBAELCAGBNMKEAPJLIKPILHMGLHNKFLHD
19)  2.7631578E-4  |  ANOLFGJKOKPNCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  3.631579E-4  |  ANOLFGJFLJLABMPPGOGEAGHOIKPILHMGLHNKMHGF
21)  2.2368421E-4  |  ANOLFGJKBEBGCMPPGOGEAKEIIKPILHMGLHNKMHGF
22)  2.6666667E-4  |  ANOLFLEKPLPBPPKIFLIKIGHOIKPILHMGLHNKMHGF
23)  2.9736842E-4  |  ADKLFGJKDPCHEMBMGHMEAPJLIKPILHMGLHNKMHGF
24)  2.3055557E-4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILJMGLHNKMHGF
25)  3.1874998E-4  |  ANOLFGJKDPLABMPPGOGEAKEIIKPILHMGLHNKMHGF
26)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
27)  2.5526315E-4  |  ANOLFLEKPLCBPPKIFLIKIGHOIKPILHMGLHNKMHGF
28)  3.5526315E-4  |  JDKDAFCLBAELCPKIGHCEDCCLCBCOAGLJHJGAFLHD
29)  2.394737E-4  |  KKACJABFLGKJGDBMGHCEDCGOAHJOELHADFGKDOJG
30)  2.6176468E-4  |  KDCMDGJKDPCHEMBMGHCEDCGOAHJOELHADFGICILP
Generation 6 Average Fitness: 2.6055254E-4

##########  Generation 7  ##########

1)  2.53125E-4  |  FJDGKPILBABMMHMLKNMKLLOEPKJBFLCMPGIJLKIE
2)  3.475E-4  |  MJGCJGBFLJLABMBMGHGEAGHOIKPILOCNFOKKDOJG
3)  2.8E-4  |  MJGCJGBFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
4)  2.7631578E-4  |  ANOLFGJKOKPNCAGBNMKGNJMBCBCOAGLJHJGAFLHD
5)  3.1874998E-4  |  ANOLFGJKDPLABMPPGOGEAKEIIKPILHMGLHNKMHGF
6)  2.2058823E-4  |  KEECILEKPLPBEHPPGOGEAGHOIKPILHJHFMIOFPBO
7)  2.8947368E-4  |  ANOLFGJKDPCHEMBMNHGOOCCLIKPILHMGLHNKMHGF
8)  2.975E-4  |  ANOLFGJKDPCHEMKLKOGEAGHOIKPILHMGLHNKMHGF
9)  3.631579E-4  |  ANOLFGJFLJLABMPPGOGEAGHOIKPILHMGLHNKMHGF
10)  2.3333332E-5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
11)  2.75E-4  |  JDKDAFCEHBFCEAGBNMKGNJMBCBCOAGLJHJGAFLHD
12)  2.8888887E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
13)  2.8947368E-4  |  ANOGFMKAPPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
14)  2.2368421E-4  |  ANOLFGJKBEBGCMPPGOGEAKEIIKPILHMGLHNKMHGF
15)  2.5526315E-4  |  ANOLFLEKPLCBPPKIFLIKIGHOIKPILHMGLHNKMHGF
16)  2.1470588E-4  |  KKACJABFLGKJGDBMGLIBEHEKLNCDCOCNFOKKDOJG
17)  2.625E-4  |  ANOLFGJFLJCCBMPPGOGEAKEIIKPILHMGLHNKMHGF
18)  3.3888887E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
19)  3.7750002E-4  |  ANOLFLEKPLPBPPKIFHCEDCCLCBCOAGLJHJGAFLHD
20)  3.5526315E-4  |  JDKDAFCLBAELCPKIGHCEDCCLCBCOAGLJHJGAFLHD
21)  2.9375E-4  |  ANOLFGJKDPCHEMBMGHCEDCCLIKPILHMGLHNKMHGF
22)  3.4473685E-4  |  ANOLFGJFLJLABMPPGOGEAKEIIKPILHMGLHNKMHGF
23)  2.7000002E-4  |  ANOLFGJFLJLABMPPGOGHDEEKLNCDDAMHMMMPECHL
24)  2.9736842E-4  |  ADKLFGJKDPCHEMBMGHMEAPJLIKPILHMGLHNKMHGF
25)  2.425E-4  |  KKACJABFLGKJGDBMGHCEDCCLCBJOELHADFGKDOJG
