##########  Generation 1  ##########

21)  0.4  |  HLEPGHBFBPHIKHFOLFCILJHPJPKIMMACNLPHFFBN
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  7.9  |  FGBCHFGFEIEFNGJCIBEGMFMJCBLHNEOGBIMDAJLE
24)  6.9  |  KDAAJGDBEMCALMOAMBPBCJJFMALNEKGHIDKIMALF
25)  12.8  |  KDAAJGDBEMCALMOAMLOGOANGLKPBCELBPPDIMALF
26)  11.5  |  KDAAJGDBEMCALMEAMLOGOANGLKPBPELBPPDIMALF
27)  11.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
28)  0.9  |  AIACHFMILCOFKPACJGNDGHBDJOALDPJCMJMMLPBP
29)  15.5  |  FGBCHFGFEIEFNGJCLHEDKCKJKJCGCFLHDGJDAJLE
30)  21.0  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
Generation 6 Average Fitness: 8.309999

##########  Generation 7  ##########

1)  -0.9  |  DLMPDJINICNLKLMPHDMHIJNHFOPCOOJMPPODGJGH
2)  10.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
3)  -0.2  |  GBKDPHFADPDJFNNMGINMJCJIEJDOLHLLFEBOAAMC
4)  16.1  |  FGBCHFGFEIEFNGJCLHMNKCKJKJCGCFLHDGJDAJLE
5)  16.1  |  FGBCHFGFEIEFNGJCLHMDKCKJKJCGCFLHDGJDAJLE
6)  20.2  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
7)  0.8  |  BOONAKFEKHAKFOEKNHADBNOPOLJFBCFDPLMHLIDG
8)  8.5  |  KDAAJGDBEMCALMECMKHNFNMIJOBKPELBPPDIMALF
9)  5.7  |  FMFAMAGMGFEJPGHEIFFFEBIPAFPJFLJINCLEHJID
10)  17.9  |  FGBCHFGFEIEFNGJCLFFCOBDJKJCGCFLHDGJDAJLE
11)  15.8  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
12)  3.9  |  BOONAKELMCOPCAJHICAPBNOPOLJFBCFDPLMHLIDG
13)  12.0  |  GHOPEKMLEMEMJJEIMFMEIOLFMALNEKGHIDKIMALF
14)  0.2  |  ODFPGMPHNHPGODGFLPNDIBFONDOBDPBPCHIOIALD
15)  2.3  |  FOFBBIGGDAHKKKBJMKHFEBIPAFPALBLMDLEIIOPA
16)  0.9  |  NCMDJBBOMPECHCDNFNFMENJKILOAECDFCPPHKHKI
17)  9.8  |  FGBCHFGFEIEJPGHKPNLGMFMJCBEOBNFHDGJDAJLE
18)  13.5  |  GHOPEKNODMMKLLPKPNLGMFMGHHDDLAFPHKMKPENG
19)  11.3  |  KDAAJGDBEMCALMOAMLOGKCJFMALNEKGHIDKIMALF
20)  10.9  |  KDAAJGDBEMCALMECGFMNFNMIJOBKPELBPPDIMALF
21)  9.8  |  KDAAJGDBEMCALMECGJCILJHPJOBKPELBPPDIMALF
22)  1.6  |  HMLIIKHLBNJEHNLNNKFFFDDMJBGPEOJBIKOKFHPG
23)  11.1  |  FGBCHFGFEIEFNGJCIBEGMFMJCBLHNFLHDGJDAJLE
24)  6.9  |  KDAAJGDBEMCALMOAMBPBCJJFMALNEKGHIDKIMALF
25)  16.4  |  FGBCHFGBEMCALGJCLHEEMCLJKJCGCFLHDGJDAJLE
26)  11.5  |  KDAAJGDBEMCALMEAMLOGOANGLKPBPELBPPDIMALF
27)  11.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
28)  0.9  |  AIACHFMILCOFKPACJGNDGHBDJOALDPJCMJMMLPBP
29)  20.3  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
30)  21.0  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
Generation 7 Average Fitness: 9.55

##########  Generation 8  ##########

1)  16.1  |  FGBCHFGFEIEFNGMPHDEEMCLJKJCGCFLHDGJDAJLE
2)  10.6  |  KDAAJGDBEMCALMECGJONFNMIJOBKPELBPPDIMALF
3)  14.9  |  FGBCHFGFEIEFNNNMGHMNKCKJKJCGCFLHDGJDAJLE
4)  18.9  |  FGBCHFGFEIEFNGJCLFFCOBKJKJCGCFLHDGJDAJLE
5)  16.1  |  FGBCHFGFEIEFNGJCLHMDKCKJKJCGCFLHDGJDAJLE
6)  20.2  |  FGBCHFGFEIEFNGJCLHEEMCLJKJCGCFLHDGJDAJLE
7)  7.7  |  GHOPEKMEKHAKFOEIMFMEIOLFMALNEKGHIDKIMALF
8)  8.5  |  KDAAJGDBEMCALMECMKHNFNMIJOBKPELBPPDIMALF
9)  12.8  |  FGBCHFGMGFEJPGHEIFFFEBIPKJCGCFLHDGJDAJLE
10)  17.9  |  FGBCHFGFEIEFNGJCLFFCOBDJKJCGCFLHDGJDAJLE
11)  15.8  |  FGBCHFGFEIEJPGHEIJMAKCKJKJCGCFLHDGJDAJLE
12)  3.9  |  BOONAKELMCOPCAJHICAPBNOPOLJFBCFDPLMHLIDG
13)  12.0  |  GHOPEKMLEMEMJJEIMFMEIOLFMALNEKGHIDKIMALF
14)  0.2  |  ODFPGMPHNHPGODGFLPNDIBFONDOBDPBPCHIOIALD
15)  2.3  |  FOFBBIGGDAHKKKBJMKHFEBIPAFPALBLMDLEIIOPA
16)  0.9  |  NCMDJBBOMPECHCDNFNFMENJKILOAECDFCPPHKHKI
17)  16.3  |  FGBCHFGFEIEJPGHKPNLAKCKJKJCGCFLHDGJDAJLE
18)  13.5  |  GHOPEKNODMMKLLPKPNLGMFMGHHDDLAFPHKMKPENG
19)  15.1  |  KDAAJGDBEMCALGJCLHEEMCLJKJCGCFLHDGJDAJLE
20)  10.9  |  KDAAJGDBEMCALMECGFMNFNMIJOBKPELBPPDIMALF
