##########  Generation 1  ##########

27)  17.5  |  ANOLFFFPLMMHACAPGCMNKBAOIKPILHMGLHNKMHGF
28)  17.1  |  CLKDAFFPLMMHACAAGOGEAGHOIKPILHMGLHNKMHGF
29)  17.4  |  KJGMJJGFLEFABMBMGHCEDCCLGKPACOCNFOKKDOJG
30)  14.2  |  KDCOOLEEHBEABMBMGHCEDCCLGHJOELHADFGICILP
Generation 6 Average Fitness: 17.660002

##########  Generation 7  ##########

1)  21.4  |  CLOMDEMMPJLABMCGBMMKLLOCLLAJLJCDEHPIAADL
2)  15.8  |  KNOLFFFPLMMHAHAPGOGEAGHOIKPILHMAIEHCAFCB
3)  18.0  |  CLOMDEMMPGMHEKHAGOGEAGHOIKPILHMGLHNKMHGF
4)  20.5  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
5)  18.0  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
6)  14.5  |  CLOMDEMMPGMDACAPGCMNKBAOIKPILHCDEHPIAADL
7)  18.4  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
8)  18.0  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
9)  22.1  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
10)  18.2  |  CLOMDEMMPJLHEKHMHEFOLLOCLLAJLJCDEHPIAADL
11)  17.6  |  ANOLFFFPLMMHACAAGOGEAGHOIKPILHMGLHNKMHGF
12)  19.1  |  CLOMDEMFLGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
13)  20.4  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
14)  14.8  |  JDKMDEMMPGMDIMCGBMMPMHABCBCOAGLJHJGAFLHD
15)  17.5  |  ANOLFFFPLMMHACAPGCMNKBAOIKPILHMGLHNKMHGF
16)  19.0  |  ANOLFGJKDPCABMBMGHCEAGHOIKPILHMGLHNKMHGF
17)  16.8  |  ANOLFEMMPJLABMCGBMMKLDFCIKPILHMGLHNKMHGF
18)  19.3  |  CLOMDEMMPGMDEKGPNMKKLDFCLLAJLJCDEHPIAADL
19)  18.6  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
20)  17.7  |  CLKDAFJKDPCABMBMGHGEAGHOIKPILHMGLHNKMHGF
21)  19.7  |  ANOLOGJKDPCABMBMGHCEDCCLGKPILHMGLHNKMHGF
22)  16.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
23)  17.9  |  ANOLOGJKDPCHEHPPGOGOPGHOIKPILHMGLHNKMHGF
24)  18.6  |  CLOMDEMMPGMDCCHAGOGEAGHOIKPILHMGLHNKMHGF
25)  21.5  |  KJGMJJGFLEFABMBMGHCEDCCLGKPICOCNFOKKDOJG
26)  20.1  |  CLOMDEMMPJLAEMCGBMMKLLOCLLAJLJCDEHPIAADL
27)  19.5  |  KJGMJJGFLECHEHPPGOGEAGHOGFBACOCNFOKKDOJG
28)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  19.1  |  CLOMDEMMPGMDCKHAGOGEAGHOIKPILHMGLHNKMHGF
30)  14.2  |  KDCOOLEEHBEABMBMGHCEDCCLGHJOELHADFGICILP
Generation 7 Average Fitness: 18.433332

##########  Generation 8  ##########

1)  21.4  |  CLOMDEMMPJLABMCGBMMKLLOCLLAJLJCDEHPIAADL
2)  18.4  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
3)  20.9  |  CLOMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
4)  18.6  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
5)  21.5  |  KJGMJJGFLEFABMBMGHCEDCCLGKPICOCNFOKKDOJG
6)  18.6  |  CLOMDEMMPJLAAMCGBMMKLLOCLLAJLJCDEHPIAADL
7)  21.0  |  CLOMDEMMPGMDEKGPGHGHDEEOIKPILHMGLHNKMHGF
8)  17.8  |  JDKMDEMMPGMDEMBMGHKKLDFCLLAJLJCDEHPIAADL
9)  18.7  |  CLKDAFJKDPCABMCGBMMKLLOCLLAJLHMGLHNKMHGF
10)  20.1  |  CLOMDEMMPJLAEMCGBMMKLLOCLLAJLJCDEHPIAADL
11)  20.2  |  CLOMDEMMPGMDEKGPGOGEAGHOIKPILHMGLHNKMHGF
12)  22.1  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
13)  18.2  |  CLOMDEFPLMMHACAPGCCHDEEOIKPILHMGLHNKMHGF
14)  19.9  |  ANOLOGJKDPCABMBPGOGEDCCLGKPILHMGLHNKMHGF
15)  19.5  |  KJGMJJGFLECHEHPPGOGEAGHOGFBACOCNFOKKDOJG
16)  21.1  |  CLOMDEMMPGMDEKGPGOGEAGHOIKPILHMGLHNKMHGF
17)  20.6  |  CLOMDEMMPGMDEKGPGHCHDEEOIKPILHMGLHNKMHGF
18)  19.0  |  ANOLFGJKDPCABMBMGHCEAGHOIKPILHMGLHNKMHGF
19)  16.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
20)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  18.0  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
22)  17.6  |  ANOLFFFPLMMHACAAGOGEAGHOIKPILHMGLHNKMHGF
23)  19.4  |  ANOLFEMMPJLABMCGBMKKLDFCIKPILHMGLHNKMHGF
24)  17.9  |  ANOLOGJKDPCHEHPPGOGOPGHOIKPILHMGLHNKMHGF
25)  19.1  |  CLOMDEMMPGMDCKHAGOGEAGHOIKPILHMGLHNKMHGF
