##########  Generation 1  ##########

18)  19.3  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
19)  19.4  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
20)  15.7  |  ANOLFGMMPGMDIMCGBMMKKPNLIKPILHMGLHNKMHGF
21)  12.1  |  KJGLJABEHBEGCMHGBMNOIKLPCGECCOCNFOKKDOJG
22)  18.0  |  JDKCILEKPLPBEPKIGOGEAGHBCBCOAGLJHJGAFLHD
23)  15.2  |  KJGLJAILPGMDIMCMGHKGNJMBCBCOAGLJHJKKDOJG
24)  17.0  |  KJGLJABFLJLABMBMGDKKNJMBCBCOAGLJHJKKDOJG
25)  17.4  |  JDKDAFCELJLABMBMGDKKNJMPPODAPJLJHJGAFLHD
26)  19.2  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
27)  17.2  |  ANOLFGJKDPLAKABGBOGEAGHOIKPILHMGLHNKMHGF
28)  18.3  |  KJGLJABFLJLABMBPGOGEAGHOIKPILHMGHJKKDOJG
29)  14.6  |  KJGLGCLEAGKJGMBMGHKGNJMBCBCOAGLJHJKKDOJG
30)  13.3  |  KDCOOLEKPIFKBCKLKMMNPCGOAHJOELHADFGICILP
Generation 6 Average Fitness: 16.456667

##########  Generation 7  ##########

1)  19.8  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
2)  23.2  |  JDKLFGJKLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
3)  22.4  |  JDKLFGJKLJLABMBGBMMKLLNLCBCOAGLJHJGAFLHD
4)  19.4  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
5)  20.5  |  JDKDAFCELJLAKABGFPGOBJMPPODAPJLJHJGAFLHD
6)  19.3  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
7)  17.1  |  JDKLFGJKLJLADGAMNHKHFOALCBCOAGLJHJGAFLHD
8)  20.8  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
9)  15.7  |  ANOLFGMMPGMDIMCGBMMKKPNLIKPILHMGLHNKMHGF
10)  19.2  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
11)  16.9  |  KJGLJABFLJLABMBIFLIKIGHOIKBACOCNFOKKDOJG
12)  19.1  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
13)  16.3  |  KJGLJABFLJLABMBMGDKHFOAEGKOCCOCNFOKKDOJG
14)  12.1  |  KJGLJABEHBEGCMHGBMNOIKLPCGECCOCNFOKKDOJG
15)  19.0  |  ANOLFGJKDPLAKABGFPGOBDFCLFBACOMGLHNKMHGF
16)  17.6  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
17)  18.5  |  KJGLJABFLJLAKABGBMGOBDFCLFBACOCNFOKKDOJG
18)  12.8  |  KKACMAKILJLABMBIFLIKKMLOIMMJGOCNFOKKDOJG
19)  18.0  |  JDKCILEKPLPBEPKIGOGEAGHBCBCOAGLJHJGAFLHD
20)  18.3  |  KJGLJABFLJLABMBPGOGEAGHOIKPILHMGHJKKDOJG
21)  19.6  |  JDKDILEKPLPBEPKIFLMKLLNLCBCOAGLJHJGAFLHD
22)  12.5  |  JDKDAFCFLJLAKACGBMMKDCCLGFBACOCNFJGAFLHD
23)  15.3  |  KJGLJABFMCHCOKBMGDKHFOAEGFBACOCNFOKKDOJG
24)  15.2  |  KJGLJAILPGMDIMCMGHKGNJMBCBCOAGLJHJKKDOJG
